Accession,Gene ID,Description,Taxonomy,Protein FDR Confidence: Combined,Missing values,Log10(S/N),# Unique Peptides,Resting_1,Resting_2,Activated_1,Activated_2,24h_Mock,24h_Pos,24h_Neg,48h_Mock,48h_Pos,48h_Neg
Q8WWM7,ATXN2L,Ataxin-2-like protein ,Homo sapiens ,High,0,4.70466175634915,31,2691.3,2265.8,6095.3,5565.7,6645.2,5233.5,5536.2,5786,4977,5863.6
P54252,ATXN3,Ataxin-3 ,Homo sapiens ,High,0,3.7719253789442,11,815,779.7,524.7,467.7,560.3,491.7,541.9,525.6,598.1,609.9
O15265,ATXN7,Ataxin-7 ,Homo sapiens ,High,0,3.7177370564438,8,757.4,794.8,590.8,577.4,582.1,253,418.3,601.5,177.6,467.9
Q9ULK2,ATXN7L1,Ataxin-7-like protein 1 ,Homo sapiens ,High,0,3.09089262571036,2,128.7,112.4,105.3,116.2,99.1,107.8,158.8,140.3,149.5,114.7
Q5T6C5,ATXN7L2,Ataxin-7-like protein 2 ,Homo sapiens ,High,0,2.50474263627169,2,41.6,25.8,52.8,27.3,32.1,33.7,27.7,30.4,22.8,25.5
Q14CW9,ATXN7L3,Ataxin-7-like protein 3 ,Homo sapiens ,High,0,3.76774936734558,6,466.2,498.7,588.7,675,676.3,606.6,586.1,669,532.5,558.9
Q96GX2,ATXN7L3B,Putative ataxin-7-like protein 3B ,Homo sapiens ,High,0,3.12372100644004,2,97,108.8,129.6,134.7,142.5,134,142.4,171.5,149.7,119.4
Q13825,AUH,"Methylglutaconyl-CoA hydratase, mitochondrial ",Homo sapiens ,High,0,3.9939121503866,8,1270.1,1254.3,965.9,1040.5,778.6,1007.4,797.4,885.8,899.1,961.7
Q9Y679,AUP1,Ancient ubiquitous protein 1 ,Homo sapiens ,High,0,3.85893401672155,9,439.5,356.9,921.4,876.3,814.2,917.4,770.8,655.4,743.4,731.3
O14965,AURKA,Aurora kinase A ,Homo sapiens ,High,0,4.33033258922298,15,680.8,515.4,2276.2,2438.8,2367.9,2986.4,2176.7,2285.9,3346.6,2321.3
Q9NWT8,AURKAIP1,Aurora kinase A-interacting protein ,Homo sapiens ,High,0,3.06479481119538,1,85.6,85.2,125.7,108.3,109.1,114.1,137.7,116.1,147.9,131.2
Q96GD4,AURKB,Aurora kinase B ,Homo sapiens ,High,0,4.44315655270663,16,846.9,626.5,3010.3,3185,2985.7,4462,2707.2,2434.8,4521,2963.8
Q9NQS1,AVEN,Cell death regulator Aven ,Homo sapiens ,High,0,3.85369821177617,9,481,428.4,802.1,709.3,851.1,652.2,851.2,857.2,657.1,850.4
Q8NBF6,AVL9,Late secretory pathway protein AVL9 homolog ,Homo sapiens ,High,0,4.08191591160382,15,919.7,840.3,1257.9,1079.2,1387.3,1058.2,1404.3,1408.2,1258.7,1462
O15169,AXIN1,Axin-1 ,Homo sapiens ,High,0,3.21916522183034,5,152,151.3,141.7,145.1,177.5,128.3,194.7,236.7,131.1,198
P25311,AZGP1,Zinc-alpha-2-glycoprotein ,Homo sapiens ,High,0,3.18400964970128,3,115.4,97.2,129.4,484.1,127.7,133,94.8,115.7,76,154.3
Q9H6S1,AZI2,5-azacytidine-induced protein 2 ,Homo sapiens ,High,0,2.27160930137883,3,16.7,28,14.2,18.7,8.3,17,18.9,20.2,31,13.9
H0YLF3,B2M,Beta-2-microglobulin (Fragment) ,Homo sapiens ,Medium,0,3.26413279716926,1,180.4,146.6,132.4,170.8,167.1,158,295.7,403.6,78.4,104.1
Q96L58,B3GALT6,"Beta-1,3-galactosyltransferase 6 ",Homo sapiens ,High,0,3.7534681509727,5,322,265.6,803.9,691.9,640,609.3,654.9,588.1,471.7,621.1
O94766,B3GAT3,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 ,Homo sapiens ,High,0,4.03939032156623,7,985,1029.5,1059,1121.9,1123.8,1402.3,1004.2,1070.9,980.8,1172
Q6Y288,B3GLCT,"Beta-1,3-glucosyltransferase ",Homo sapiens ,High,0,4.00817418400643,7,1584.6,1649,1030.8,1068.7,794.6,922.7,847.3,771.8,773.9,746.6
Q9NY97,B3GNT2,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2 ",Homo sapiens ,High,0,3.95955174628784,9,575.2,491.7,981.9,906.6,1027.2,1079,1058.9,934.9,973.7,1081.6
Q9BYG0,B3GNT5,"Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase ",Homo sapiens ,High,0,3.17863167539325,2,127.5,139.6,229,205.6,178.9,144.5,119.3,121.2,103.1,140.1
Q67FW5,B3GNTL1,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like protein 1 ",Homo sapiens ,High,0,3.34984067628594,4,189.9,148.2,296.8,322.2,298.7,241.2,190.3,177.9,183.8,188.9
P15291,B4GALT1,"Beta-1,4-galactosyltransferase 1 ",Homo sapiens ,High,0,3.62538448435654,5,214,196.8,456.2,462.3,461,589,426.8,483.1,450.9,480.6
O60512,B4GALT3,"Beta-1,4-galactosyltransferase 3 ",Homo sapiens ,High,0,3.44779349740938,3,227.3,302.3,270.5,287.9,274.8,309.5,292.2,273.2,291.7,274.7
O60513,B4GALT4,"Beta-1,4-galactosyltransferase 4 ",Homo sapiens ,High,0,3.33401118876135,3,155.5,151,196.6,198.8,212.8,285.7,253.1,224,243.2,237.1
O43286,B4GALT5,"Beta-1,4-galactosyltransferase 5 ",Homo sapiens ,High,0,2.31281182621209,1,13.5,14.3,27.9,23.9,37.6,24,13.5,17.6,17.5,15.7
O43505,B4GAT1,"Beta-1,4-glucuronyltransferase 1 ",Homo sapiens ,High,0,3.35579621350297,4,119,88.4,264.5,268.7,252.4,297,265.2,266.4,232.5,214.7
Q9NWV8,BABAM1,BRISC and BRCA1-A complex member 1 ,Homo sapiens ,High,0,4.05236299810003,10,1655.7,1576.1,1034.5,959.1,999.1,856.7,1043.9,1207.9,881.5,1066.9
O14867,BACH1,Transcription regulator protein BACH1 ,Homo sapiens ,High,0,3.24676931494647,4,173.6,185.5,165.4,199.1,184.5,198.9,167.6,149.3,174.3,166.9
Q9BYV9,BACH2,Transcription regulator protein BACH2 ,Homo sapiens ,High,0,4.45277972570426,25,1655.4,1579,3006.9,3167.9,2906.1,4195.9,3274.4,2156.5,3616.7,2806
Q92934,BAD,Bcl2-associated agonist of cell death ,Homo sapiens ,High,0,3.54100479678092,3,402.2,349.2,326.5,340.9,295.4,357,324.5,398.9,352.1,328.7
Q99933,BAG1,BAG family molecular chaperone regulator 1 ,Homo sapiens ,High,0,4.15742049985729,8,2335.9,1868.5,1541.6,1116.8,1443.9,957,1490.2,1278.8,1016.5,1319.6
O95816,BAG2,BAG family molecular chaperone regulator 2 ,Homo sapiens ,High,0,4.28488396838329,15,1084.5,1049,1849.1,1891.2,2219.3,2465.7,2111.3,2166.2,2461.5,1972.3
O95817,BAG3,BAG family molecular chaperone regulator 3 ,Homo sapiens ,High,0,3.98057144816167,13,986.9,1000.7,867.2,843.6,906.2,866.4,990.4,1094,1106.4,900.7
O95429,BAG4,BAG family molecular chaperone regulator 4 ,Homo sapiens ,High,0,4.0071159277888,9,701.5,630.8,1257.6,1183.3,1233.3,1097.9,1001.7,1046.8,914.4,1097.9
Q9UL15,BAG5,BAG family molecular chaperone regulator 5 ,Homo sapiens ,High,0,4.47296258059951,17,3946.2,3871.5,3077.2,3032.3,2848.1,2520.9,2770.8,2794.7,2346.2,2506.2
P46379,BAG6,Large proline-rich protein BAG6 ,Homo sapiens ,High,0,4.51379272588519,27,2332.8,2063.1,3823.1,3744.8,4205.7,3473.6,3559.8,3552.4,2694.2,3193.7
Q8TBE0,BAHD1,Bromo adjacent homology domain-containing 1 protein ,Homo sapiens ,High,0,3.94806069228471,10,764.8,711.9,1224.5,1144.1,1043.6,733.4,903.1,738,694.6,914.8
Q9UQB8,BAIAP2,Brain-specific angiogenesis inhibitor 1-associated protein 2 ,Homo sapiens ,High,0,3.52972543061082,5,337.5,350.3,341.1,337.9,390.7,291.1,361.3,375,272.7,328.7
Q16611,BAK1,Bcl-2 homologous antagonist/killer ,Homo sapiens ,High,0,3.22468841745729,4,200.1,212.4,146.2,136,139.2,171.1,163.8,150.9,198.6,159.3
O75531,BANF1,Barrier-to-autointegration factor ,Homo sapiens ,High,0,4.05056147995193,6,1620.3,1352.8,1169.8,1232.3,1123.6,1317.8,783.2,801.2,863.4,970.3
Q8N9N5,BANP,Protein BANP ,Homo sapiens ,High,0,4.1190842496428,10,1636.3,1780.3,1213.7,1300.7,1065.1,1412.6,1201.8,1187.4,1319.5,1037.4
Q92560,BAP1,Ubiquitin carboxyl-terminal hydrolase BAP1 ,Homo sapiens ,High,0,4.04692027604826,13,781.5,798.3,1118.8,1117.6,1171.3,1180.4,1254.7,1247.9,1294.1,1176.3
Q8IXM2,BAP18,Chromatin complexes subunit BAP18 ,Homo sapiens ,High,0,4.30073892084015,9,3048.7,3059,1566.3,1734.9,1673.7,1631.1,1718.2,1714.8,2049,1790.9
Q8IXM2-2,BAP18,Isoform 2 of Chromatin complexes subunit BAP18 ,Homo sapiens ,High,0,3.09324653110384,2,192.5,135.8,102.8,108.9,107.2,100.5,110,105.3,126.7,149.8
Q99728,BARD1,BRCA1-associated RING domain protein 1 ,Homo sapiens ,High,0,4.14364859496855,17,319.2,267.4,1501.7,1453.2,1274.2,1942.6,1539.8,1415.1,2540.1,1667
P80723,BASP1,Brain acid soluble protein 1 ,Homo sapiens ,High,0,3.73617332117029,6,673.7,667.5,490.7,465.4,480.1,418.1,610.5,482.7,486.1,672.4
Q16520,BATF,Basic leucine zipper transcriptional factor ATF-like ,Homo sapiens ,High,0,3.41252774447201,1,145.9,139.3,336,203.2,351.9,195.1,335.8,277.6,212,388.6
Q9NR55,BATF3,Basic leucine zipper transcriptional factor ATF-like 3 ,Homo sapiens ,High,0,3.82033941312684,4,266.9,237.1,764.2,912.9,704.6,1044.3,586,662.2,786.8,647.1
Q07812,BAX,Apoptosis regulator BAX ,Homo sapiens ,High,0,4.47188992099747,10,3789.1,3577.7,2511.6,2457.4,2348.3,2294.8,2618.8,2869.2,4017.7,3156.2
Q9NRL2,BAZ1A,Bromodomain adjacent to zinc finger domain protein 1A ,Homo sapiens ,High,0,4.87268642953523,56,2599.1,2135.5,9393.5,9401,8390.9,11076.6,8639,7043.8,8373.5,7538.1
Q9UIG0,BAZ1B,Tyrosine-protein kinase BAZ1B ,Homo sapiens ,High,0,5.15726904707309,73,9865.7,9795.7,16682.3,17272.8,16031.1,15123.7,16269.6,15289.1,11543.7,15764.2
Q9UIF9,BAZ2A,Bromodomain adjacent to zinc finger domain protein 2A ,Homo sapiens ,High,0,4.40551539984062,31,1228.4,1202.5,2445.2,2665.6,2652.6,3460.9,2793.7,3001.8,3092.2,2897
Q9UIF8,BAZ2B,Bromodomain adjacent to zinc finger domain protein 2B ,Homo sapiens ,High,0,3.24137213015844,3,92.4,138.5,156.6,162.7,155.9,235.1,173.2,132.4,296.2,200.3
Q9BXH1,BBC3,Bcl-2-binding component 3 ,Homo sapiens ,High,0,3.08328756932728,2,169.7,190,74,81.3,65.8,83.2,108.1,107.3,228,104
Q96RK4,BBS4,Bardet-Biedl syndrome 4 protein ,Homo sapiens ,High,0,3.49975579466378,2,151.3,135.5,341.8,320.9,346.4,365.8,370.9,365.4,409.3,353.2
Q8IWZ6,BBS7,Bardet-Biedl syndrome 7 protein ,Homo sapiens ,High,0,3.28237283742438,4,209.2,182.1,185.2,169.5,162.7,181,200.6,184.3,247.3,194
Q3SYG4,BBS9,Protein PTHB1 ,Homo sapiens ,High,0,2.71146978187433,1,69.6,70.8,53.3,50,54.3,36.1,40.7,46.1,50.7,43
Q8WY36,BBX,HMG box transcription factor BBX ,Homo sapiens ,High,0,4.22403555330055,21,2637,2619.5,2337.7,2278.1,1902,411.8,1098.8,1727.5,369.4,1369
Q9UHQ4,BCAP29,B-cell receptor-associated protein 29 ,Homo sapiens ,High,0,4.35331214357633,9,1487.6,1386.7,2048.9,2071.2,1792.7,2732.2,2315.1,2645.2,3641.1,2437.9
P51572,BCAP31,B-cell receptor-associated protein 31 ,Homo sapiens ,High,0,4.80247063931271,18,10403.3,10936.6,5999.3,5776.6,4322.8,5731.1,4806.4,4786.2,5916.2,4777.2
O75934,BCAS2,Pre-mRNA-splicing factor SPF27 ,Homo sapiens ,High,0,4.5577321106064,17,2788,2643,3764.9,3923.8,3715.9,4272.1,3936.4,3683.7,3951.9,3439
Q9H6U6,BCAS3,Breast carcinoma-amplified sequence 3 ,Homo sapiens ,High,0,3.65816408875041,7,677.2,670,376.1,411.5,352,371.5,422.9,385.6,416.3,468.5
P54687,BCAT1,"Branched-chain-amino-acid aminotransferase, cytosolic ",Homo sapiens ,High,0,4.10973711811226,9,250,208.3,942.9,788.6,1449,1374.4,1766.5,1799.2,2277.5,2018.3
O15382,BCAT2,"Branched-chain-amino-acid aminotransferase, mitochondrial ",Homo sapiens ,High,0,4.35195469503758,13,2441.3,2272.7,2189.4,2166.7,1979.9,2584.2,1998.1,1947.7,2465.8,2442.4
Q9P287,BCCIP,BRCA2 and CDKN1A-interacting protein ,Homo sapiens ,High,0,4.58415701925059,14,2255.8,1848.6,4575.1,4198.1,4474.5,3661.8,4797.1,4716.7,3421,4435.9
Q9P287-2,BCCIP,Isoform 2 of BRCA2 and CDKN1A-interacting protein ,Homo sapiens ,High,0,2.77473588255175,3,19.1,9.9,97.8,98.9,98.6,56.7,65.4,66.1,30.5,52.3
Q7Z5W3,BCDIN3D,Pre-miRNA 5'-monophosphate methyltransferase ,Homo sapiens ,High,0,2.78958071216443,1,67.8,49.4,65.3,60.2,66.8,63,52.9,65.5,57.1,68
P12694,BCKDHA,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial ",Homo sapiens ,High,0,4.24020716908995,16,2708.3,2561.3,1527.6,1571.6,1255.2,1975.7,1400.6,1249.9,1688,1448.1
P21953,BCKDHB,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial ",Homo sapiens ,High,0,3.95221590620041,9,1765.2,1591.2,744.1,695.8,586.9,701.2,652.1,536.8,966.8,718
O14874,BCKDK,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial ",Homo sapiens ,High,0,3.65365623249478,7,266.3,234.3,415.2,451.8,405.9,599.6,494.6,432.4,674.9,529.6
O95999,BCL10,B-cell lymphoma/leukemia 10 ,Homo sapiens ,High,0,3.89320119938646,9,993.4,1000.5,594.4,543.1,712.4,558.2,890.5,963.7,814.3,749.4
Q9C0K0,BCL11B,B-cell lymphoma/leukemia 11B ,Homo sapiens ,High,0,4.48562632544796,24,4755.1,4796,3008.9,2904.5,2654.3,3132.7,2514.8,1915.6,2400,2511.4
P10415,BCL2,Apoptosis regulator Bcl-2 ,Homo sapiens ,High,0,3.07059193151204,4,245.7,314.9,89.6,128,82.6,86.8,60.8,44.1,72.8,51.2
Q16548,BCL2A1,Bcl-2-related protein A1 ,Homo sapiens ,High,0,3.74600331345223,7,177.5,137.7,1199.8,1143.2,519.5,693.7,479.2,349.1,523.9,348.3
Q07817,BCL2L1,Bcl-2-like protein 1 ,Homo sapiens ,High,0,4.18389875910654,5,463.1,442.4,1996.7,2264.6,1493,2056.6,1801.8,1517,1860.1,1376.8
O43521,BCL2L11,Bcl-2-like protein 11 ,Homo sapiens ,High,0,2.36285930295868,2,32.9,40,25.7,22.4,12,20,16.9,13.8,27.6,19.3
Q9HB09,BCL2L12,Bcl-2-like protein 12 ,Homo sapiens ,High,0,3.4119225964662,5,35.3,27.9,215.1,277.4,304,405.2,262.7,402.7,426.8,224.7
Q9BXK5,BCL2L13,Bcl-2-like protein 13 ,Homo sapiens ,High,0,3.93859476958216,14,1080.2,1293.9,777.4,851.6,623.3,907,758.2,783.9,985.7,620.3
Q9BZR8,BCL2L14,Apoptosis facilitator Bcl-2-like protein 14 ,Homo sapiens ,High,0,3.3356584522893,4,134.1,113.6,155.9,157.1,195.6,193.2,198.6,202,382.6,433.3
P20749,BCL3,B-cell lymphoma 3 protein ,Homo sapiens ,High,0,3.58736294114218,5,161.2,188.1,318.1,380.8,386.4,404.9,383.2,558.5,531.4,554.3
P41182,BCL6,B-cell lymphoma 6 protein ,Homo sapiens ,Medium,0,2.56122067893394,1,14.3,17.1,37.5,38.5,43.6,32.2,59.7,41.6,38.1,41.5
Q4VC05,BCL7A,B-cell CLL/lymphoma 7 protein family member A ,Homo sapiens ,High,0,3.04863598843265,2,64.5,66.9,105.7,100.9,104.2,148.8,126.2,128.3,165.3,107.7
Q9BQE9,BCL7B,B-cell CLL/lymphoma 7 protein family member B ,Homo sapiens ,High,0,3.8296832125731,4,603.8,455.4,741.6,594.9,701.8,754.8,787.1,540.2,752,824.3
Q8WUZ0,BCL7C,B-cell CLL/lymphoma 7 protein family member C ,Homo sapiens ,High,0,3.59397241871892,5,729.3,506.7,385.2,280.2,278.2,315.9,362.7,307.6,345,415.4
O00512,BCL9,B-cell CLL/lymphoma 9 protein ,Homo sapiens ,High,0,4.17657739668913,20,1107.9,1043.7,1712.6,1647.6,1792.4,1575,1578.2,1522.9,1431.5,1605
Q86UU0,BCL9L,B-cell CLL/lymphoma 9-like protein ,Homo sapiens ,High,0,4.04169263955522,17,2374.3,2363.8,893.8,849.5,863.1,670.9,772,818.5,723.6,678.1
Q9NYF8,BCLAF1,Bcl-2-associated transcription factor 1 ,Homo sapiens ,High,0,4.62354079027174,30,3381.7,3210.8,4630.1,4661.1,4608.6,6013.8,4190.5,3409.7,4318.3,3603.6
Q6W2J9,BCOR,BCL-6 corepressor ,Homo sapiens ,High,0,4.14354562723842,24,888.6,830.2,1744.2,1820.1,1888.1,808.3,1558.6,1884.1,851.7,1643.1
Q5H9F3,BCORL1,BCL-6 corepressor-like protein 1 ,Homo sapiens ,High,0,3.46510017059514,9,177.1,187.3,334.7,347.1,304.6,368.5,278.9,263.9,385.2,270.8
P11274,BCR,Breakpoint cluster region protein ,Homo sapiens ,High,0,4.37037798764437,22,3429.4,3404.1,2305.9,2274.3,2223.8,1666.8,2133.1,2089.4,1884.1,2051.8
Q9Y276,BCS1L,Mitochondrial chaperone BCS1 ,Homo sapiens ,High,0,4.19936292876294,13,1119.5,1178.6,1567.7,1730.3,1525.1,2027.6,1666.6,1617,1897.3,1496
Q02338,BDH1,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial ",Homo sapiens ,High,0,4.31684225467449,14,2068,2004.2,1853.6,1888.4,1758.7,2201.9,2090.3,2226.1,2545.4,2105
Q9BUT1,BDH2,3-hydroxybutyrate dehydrogenase type 2 ,Homo sapiens ,High,0,4.06675441661717,8,2328.1,2460.5,845,856.5,708.1,704.5,899.8,941.3,1021.9,895.8
A6H8Y1,BDP1,Transcription factor TFIIIB component B'' homolog ,Homo sapiens ,High,0,3.76141660295019,16,458.6,480.2,683.8,661.1,561.1,573.3,585.5,593.1,616,560.5
Q14457,BECN1,Beclin-1 ,Homo sapiens ,High,0,3.93558283253579,13,1122.6,1054.1,875.8,876.5,833.2,744.3,797.9,826.7,774.3,716.1
Q9BUH8,BEGAIN,Brain-enriched guanylate kinase-associated protein ,Homo sapiens ,High,0,3.27374183621105,5,168.2,185,198.2,206.1,196.5,195.7,183.3,167.3,180.9,197
Q5T5X7,BEND3,BEN domain-containing protein 3 ,Homo sapiens ,High,0,4.33217578383042,27,853.5,653.6,2660.2,2537.6,2373.8,2846.9,2467.9,2162.9,2456.4,2474.2
Q7L4P6,BEND5,BEN domain-containing protein 5 ,Homo sapiens ,High,0,3.44909253111942,4,196.3,215,245.8,189.5,205,286.5,313.4,385.1,380.3,395.6
Q8N1M1,BEST3,Bestrophin-3 ,Homo sapiens ,Medium,0,2.54307423503353,2,23.3,30.8,41.4,28.5,22.2,47.8,51.3,37.6,37.1,29.2
O15155,BET1,BET1 homolog ,Homo sapiens ,High,0,3.67627282592475,2,430.9,355.2,432.6,408,405.7,457.8,550.2,516.3,629.4,559.3
Q9NYM9,BET1L,BET1-like protein ,Homo sapiens ,High,0,3.13036593726521,3,133.7,145.3,128.9,138.2,163.8,170.9,122.7,130.8,117.3,98.5
Q9BXY8,BEX2,Protein BEX2 ,Homo sapiens ,High,0,2.46478751964594,1,20,28.7,37.1,40.6,30.3,27.1,32.5,29.2,26.3,19.8
O14503,BHLHE40,Class E basic helix-loop-helix protein 40 ,Homo sapiens ,High,0,3.87352984994371,7,160.1,137.8,525,574.6,661.8,1008.6,1248.3,865.8,1304.3,987.3
Q96G01,BICD1,Protein bicaudal D homolog 1 ,Homo sapiens ,High,0,3.40984862202119,7,165.2,159.2,297.5,280.3,225.2,269.9,291.9,286.9,332.9,260.5
Q8TD16,BICD2,Protein bicaudal D homolog 2 ,Homo sapiens ,High,0,4.36407422922533,32,1946.5,1662.7,2975.2,2578.1,2599.4,2462.2,2335.1,2397.4,2089.6,2078.4
Q8TD16-2,BICD2,Isoform 2 of Protein bicaudal D homolog 2 ,Homo sapiens ,Medium,0,2.29181268746712,2,37.3,74.6,7.3,14.7,9.1,17.6,10.1,10.8,10.5,3.8
Q6ZP65,BICDL1,BICD family-like cargo adapter 1 ,Homo sapiens ,High,0,3.50008546123765,8,211.3,155.6,453.2,517.3,329.5,344.3,348.6,322.3,242.2,238.6
O00499,BIN1,Myc box-dependent-interacting protein 1 ,Homo sapiens ,High,0,4.53352040471726,23,7400.7,7822,2651.9,2480.7,2378.3,2103.7,2173.4,2497.2,2321.2,2331.1
Q9UBW5,BIN2,Bridging integrator 2 ,Homo sapiens ,High,0,4.46173406840469,19,7973.3,8616.2,2025.1,2123.9,1446.2,1297.4,1389.4,1415.8,1372.6,1295.8
Q9NQY0,BIN3,Bridging integrator 3 ,Homo sapiens ,Medium,0,2.35945602012099,1,23,28.4,11.3,17.5,22.1,29.7,16.9,22.3,32.7,24.9
Q13490,BIRC2,Baculoviral IAP repeat-containing protein 2 ,Homo sapiens ,High,0,4.01360815064046,11,833.1,868.5,1131.5,1163.7,1111.1,993.3,1054,1134.9,1043.6,984.6
Q13489,BIRC3,Baculoviral IAP repeat-containing protein 3 ,Homo sapiens ,High,0,3.15136985024746,2,127.4,123.5,147.5,159.6,142.1,147.1,159.2,145.2,135.6,129.8
O15392,BIRC5,Baculoviral IAP repeat-containing protein 5 ,Homo sapiens ,High,0,4.12992179765066,8,190.2,101,1156.7,1070.2,1291.1,2198.9,1357.6,1319,3362.8,1439.7
Q9NR09,BIRC6,Baculoviral IAP repeat-containing protein 6 ,Homo sapiens ,High,0,4.97424311163191,94,7119.6,7063.5,9918.3,9625.8,10277.1,8692.6,10027,11700.6,8986.2,10831
P54132,BLM,Bloom syndrome protein ,Homo sapiens ,High,0,4.70591500387879,48,1622.9,1552.9,6213.6,6155.3,5403.5,6160.8,6000.7,6027.8,5662.5,6006
Q13867,BLMH,Bleomycin hydrolase ,Homo sapiens ,High,0,4.50475350368609,22,4981.8,4685.7,3936.1,3646,3919.8,3420.2,1569.9,1982.5,1297.7,2531.1
P78537,BLOC1S1,Biogenesis of lysosome-related organelles complex 1 subunit 1 ,Homo sapiens ,High,0,3.81079686844237,5,752.7,1221.1,466,704.4,445.4,646.3,386.4,777.5,671.7,396.9
Q6QNY1,BLOC1S2,Biogenesis of lysosome-related organelles complex 1 subunit 2 ,Homo sapiens ,High,0,3.62656618285605,6,459.7,602.9,412.1,369.2,390.8,363.8,408.5,431.8,426.9,366.5
Q6QNY0,BLOC1S3,Biogenesis of lysosome-related organelles complex 1 subunit 3 ,Homo sapiens ,High,0,3.75643831090627,5,919.1,967.5,435.7,444.2,416.7,406.1,499.3,570.7,555.8,492.3
Q9NUP1,BLOC1S4,Biogenesis of lysosome-related organelles complex 1 subunit 4 ,Homo sapiens ,High,0,3.76685881102142,6,856.6,800.6,563.7,569,477.8,388.9,541.8,640.3,466.1,541.2
Q8TDH9,BLOC1S5,Biogenesis of lysosome-related organelles complex 1 subunit 5 ,Homo sapiens ,High,0,4.02974486313207,4,1258.2,1259.1,941,1063.1,875.3,877.1,1044.1,1382.6,1062.6,945.8
Q9UL45,BLOC1S6,Biogenesis of lysosome-related organelles complex 1 subunit 6 ,Homo sapiens ,High,0,3.24274014460563,2,245.9,264.5,143.7,162.5,149.6,144.3,161.9,165.7,146.7,164
P53004,BLVRA,Biliverdin reductase A ,Homo sapiens ,High,0,4.46751783397622,12,3117.1,3047.8,2297.2,2361,2642.7,2663.5,2703.2,2923.9,3885.1,3702.4
P30043,BLVRB,Flavin reductase (NADPH) ,Homo sapiens ,High,0,4.11411369596144,9,1727.5,1782.3,1127.1,1174.4,1087.8,1149,1106.5,1210.7,1357.6,1282.2
P35226,BMI1,Polycomb complex protein BMI-1 ,Homo sapiens ,High,0,4.03771327665438,10,1224.1,1138.5,1236.4,1185,1005.2,1148.4,1063.8,776.2,1115.6,1014
Q9NSY1,BMP2K,BMP-2-inducible protein kinase ,Homo sapiens ,High,0,3.29236684663622,11,124.6,121.9,209.2,180.5,212.7,213.8,209.9,218.1,239.4,230.4
P36894,BMPR1A,Bone morphogenetic protein receptor type-1A ,Homo sapiens ,Medium,0,2.82190637735232,1,20.7,12.9,58.3,79.8,84.7,93.2,92.9,87.9,71.6,61.6
Q13873,BMPR2,Bone morphogenetic protein receptor type-2 ,Homo sapiens ,High,0,2.3747483460101,1,42.2,33.3,22.3,15.8,17.8,23.6,13.5,20.1,25.2,23.2
Q14692,BMS1,Ribosome biogenesis protein BMS1 homolog ,Homo sapiens ,High,0,4.75111582785122,42,3134.9,2991.4,6972.6,7362.2,6502.6,7120.5,6048.4,5515.9,4885.1,5845.2
Q12981,BNIP1,Vesicle transport protein SEC20 ,Homo sapiens ,High,0,3.96655470297251,9,631.2,648.3,1001.2,1119.8,927.1,1211.5,943.5,871.3,973.1,931.8
Q12982,BNIP2,BCL2/adenovirus E1B 19 kDa protein-interacting protein 2 ,Homo sapiens ,High,0,3.62914445582237,5,489.4,458,467.4,418.7,455.9,329.1,452.3,491.4,300,395.2
J3KN59,BNIP2,BCL2/adenovirus E1B 19 kDa protein-interacting protein 2 ,Homo sapiens ,High,0,3.43410562246242,3,303.2,295.7,259.4,258.5,251.9,195.7,331.4,355.4,215.6,250.3
Q12983,BNIP3,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 ,Homo sapiens ,High,0,3.48545168275652,3,195.4,196.2,206.9,212.1,318,544.1,446.9,285.8,354,298.7
O60238,BNIP3L,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like ,Homo sapiens ,High,0,3.16390643345775,2,145.1,140.5,74.4,86.6,103.4,217.7,178.5,120.7,237.9,153.7
Q96IK1,BOD1,Biorientation of chromosomes in cell division protein 1 ,Homo sapiens ,High,0,3.42150521236051,3,356.1,328.2,265.4,239.6,257.7,220.3,241.9,235.8,240.3,254.1
Q8NFC6,BOD1L1,Biorientation of chromosomes in cell division protein 1-like 1 ,Homo sapiens ,High,0,4.97698833983104,92,9346.3,9564.7,9470,8996.3,8774.9,10553.4,9226.2,9690.6,10817.2,8399.7
H0Y9Y2,BOD1L1,Biorientation of chromosomes in cell division protein 1-like 1 (Fragment) ,Homo sapiens ,Medium,0,3.77753556365314,4,829.3,681.8,647.1,495.6,561.9,525.1,618.5,525.7,543.7,562.8
Q9Y3E2,BOLA1,BolA-like protein 1 ,Homo sapiens ,High,0,2.91051768551727,5,80.5,75.8,86.8,94.9,101.9,87.8,60.2,62.2,93,70.7
Q9H3K6,BOLA2,BolA-like protein 2 ,Homo sapiens ,High,0,3.89865937440975,4,910.9,764.7,1117.6,966.4,902.9,603,814.4,628.5,524.1,686.3
